# {"pwd":"/Users/rakheendama/Projects/2026/maestro/.claude/worktrees/multi-instance-verification/maestro-integration-tests","gitHead":"7113e069eca5f3ba3bdaa8d519f878cef542de22","branch":"worktree-multi-instance-verification","timestampUtc":"2026-08-01T21:43:25.642467Z","seed":-6973268155056049009,"mode":"SOAK","runId":"20260801-214325--6973268155056049009"}
windowStartUtc,windowSecs,liveNodes,running,waitingSignal,waitingTimer,compensating,recoveryCalls,recoveryRatePerSec,lockProbeCalls,lockRenewCalls,subscribeCalls,unsubscribeCalls,pubsubChannels,chaosActive
2026-08-01T22:02:31.617301Z,15,6,0,35,6,0,3,0.200,96,175,34,48,36,false
2026-08-01T22:02:46.822608Z,15,6,0,34,9,0,1,0.067,65,141,26,27,35,false
2026-08-01T22:03:01.990022Z,15,6,1,32,8,0,2,0.133,141,238,57,58,37,false
2026-08-01T22:03:17.127335Z,15,5,0,25,1,0,0,0.000,80,159,41,49,30,true
2026-08-01T22:03:32.284825Z,15,5,0,22,0,0,3,0.200,77,129,25,29,27,true
2026-08-01T22:03:47.425836Z,15,5,0,18,1,0,0,0.000,33,86,15,19,26,true
2026-08-01T22:04:02.578390Z,15,5,0,20,1,0,2,0.133,91,162,35,40,21,true
2026-08-01T22:04:17.722838Z,15,6,0,19,8,0,1,0.067,116,153,49,51,19,false
2026-08-01T22:04:32.890145Z,15,6,0,22,7,0,3,0.200,107,168,40,37,22,false
2026-08-01T22:04:48.020040Z,15,6,0,21,6,0,0,0.000,61,114,25,26,21,false
2026-08-01T22:05:03.175752Z,15,5,0,20,0,0,2,0.133,36,81,16,17,20,true
2026-08-01T22:05:18.301557Z,15,5,0,24,7,0,1,0.067,42,64,12,8,24,true
2026-08-01T22:05:33.454620Z,15,5,0,24,10,0,2,0.133,87,127,25,12,29,true
2026-08-01T22:05:48.597398Z,15,5,0,19,9,0,0,0.000,109,182,58,64,25,true
2026-08-01T22:06:03.750208Z,15,5,0,21,8,0,2,0.133,79,130,36,34,27,true
2026-08-01T22:06:18.903588Z,15,6,0,23,3,0,2,0.133,106,177,44,49,24,false
2026-08-01T22:06:34.064091Z,15,6,0,19,3,0,2,0.133,53,97,25,30,21,false
2026-08-01T22:06:49.194697Z,15,5,0,15,2,0,0,0.000,24,82,10,16,17,true
2026-08-01T22:07:04.372363Z,15,5,0,15,0,0,2,0.133,19,57,9,10,16,true
2026-08-01T22:07:19.550440Z,15,6,0,15,5,0,2,0.133,29,71,3,4,15,false
2026-08-01T22:07:34.704797Z,15,6,0,21,11,0,2,0.133,119,163,47,41,21,false
2026-08-01T22:07:49.845570Z,15,6,0,16,7,0,0,0.000,103,174,49,54,16,false
2026-08-01T22:08:05.004203Z,15,5,0,17,7,0,2,0.133,82,120,35,34,17,true
2026-08-01T22:08:20.155873Z,15,5,0,21,15,0,1,0.067,51,87,13,9,21,true
2026-08-01T22:08:35.286344Z,15,5,0,23,8,0,2,0.133,93,129,34,32,23,true
2026-08-01T22:08:50.421998Z,15,5,0,25,19,0,0,0.000,96,145,31,29,26,true
2026-08-01T22:09:05.596109Z,15,6,0,20,3,0,3,0.200,193,273,88,93,20,false
2026-08-01T22:09:20.767723Z,15,6,0,23,7,0,1,0.067,59,114,25,22,23,false
2026-08-01T22:09:35.938443Z,15,6,0,21,2,0,2,0.133,78,124,30,32,21,false
2026-08-01T22:09:51.112711Z,15,6,0,22,3,0,0,0.000,67,138,28,27,22,false
2026-08-01T22:10:06.248286Z,15,5,0,24,1,0,3,0.200,49,105,19,18,23,true
2026-08-01T22:10:21.409621Z,15,5,0,25,5,0,0,0.000,24,69,7,5,25,true
2026-08-01T22:10:36.560444Z,15,5,0,27,33,0,2,0.133,108,128,27,25,27,true
2026-08-01T22:10:51.697549Z,15,6,0,29,18,0,1,0.067,221,311,100,98,27,false
2026-08-01T22:11:06.838481Z,15,6,0,30,17,0,3,0.200,153,219,56,55,30,false
2026-08-01T22:11:22.034886Z,15,6,0,33,8,0,0,0.000,130,225,64,61,33,false
2026-08-01T22:11:37.173175Z,15,5,0,30,5,0,2,0.133,93,152,29,32,30,true
2026-08-01T22:11:52.320429Z,15,5,0,35,8,0,1,0.067,65,124,15,10,35,true
2026-08-01T22:12:07.491958Z,15,6,0,40,12,0,4,0.267,86,140,5,0,40,false
2026-08-01T22:12:22.634960Z,15,6,2,29,2,0,0,0.000,112,205,90,100,30,false
2026-08-01T22:12:37.773380Z,15,6,0,32,6,0,2,0.133,22,96,4,2,32,false
2026-08-01T22:12:52.930684Z,15,5,0,29,14,0,0,0.000,80,134,30,33,29,true
2026-08-01T22:13:08.073767Z,15,5,0,35,12,0,3,0.200,130,209,26,20,35,true
2026-08-01T22:13:23.218320Z,15,6,0,31,14,0,1,0.067,86,131,9,13,31,false
2026-08-01T22:13:38.370688Z,15,6,0,32,6,0,2,0.133,181,283,120,119,32,false
2026-08-01T22:13:53.528201Z,15,6,0,28,2,0,1,0.067,73,139,31,35,28,false
2026-08-01T22:14:08.656115Z,15,6,0,32,4,0,3,0.200,55,129,12,8,34,false
2026-08-01T22:14:23.798032Z,15,6,0,24,1,0,1,0.067,104,145,49,57,24,false
2026-08-01T22:14:38.941595Z,15,6,0,31,5,0,1,0.067,73,137,25,18,31,false
2026-08-01T22:14:54.134103Z,15,5,0,31,5,0,1,0.067,54,109,20,20,31,true
2026-08-01T22:15:09.276092Z,15,5,0,33,5,0,3,0.200,74,165,15,13,33,true
2026-08-01T22:15:24.416609Z,15,5,0,41,11,0,0,0.000,93,148,17,9,41,true
2026-08-01T22:15:39.564838Z,15,6,0,29,16,0,2,0.133,199,274,104,116,29,false
2026-08-01T22:15:54.702288Z,15,5,0,33,11,0,1,0.067,105,168,28,24,16,true
2026-08-01T22:16:09.851083Z,15,5,0,28,5,0,2,0.133,72,113,22,27,11,true
2026-08-01T22:16:24.988197Z,15,6,0,30,5,0,1,0.067,63,82,9,7,13,false
2026-08-01T22:16:40.127705Z,15,6,0,32,27,0,2,0.133,183,226,95,76,32,false
2026-08-01T22:16:55.284259Z,15,5,0,28,8,0,1,0.067,156,264,80,84,28,true
2026-08-01T22:17:10.433990Z,15,6,0,28,6,0,2,0.133,114,172,43,44,27,false
2026-08-01T22:17:25.590310Z,15,6,0,28,9,0,1,0.067,82,129,34,33,28,false
2026-08-01T22:17:40.771318Z,15,6,0,31,5,0,2,0.133,64,116,11,8,31,false
2026-08-01T22:17:55.935763Z,15,6,0,28,11,0,1,0.067,104,180,45,48,28,false
2026-08-01T22:18:11.082963Z,15,6,0,25,3,0,2,0.133,109,170,51,54,25,false
2026-08-01T22:18:26.219768Z,15,5,0,34,19,0,1,0.067,97,152,26,17,34,true
2026-08-01T22:18:41.395811Z,15,5,0,30,0,0,1,0.067,95,153,41,45,30,true
2026-08-01T22:18:56.559350Z,15,5,0,35,14,0,1,0.067,66,118,24,11,35,true
2026-08-01T22:19:11.697659Z,15,6,0,27,6,0,3,0.200,159,227,86,94,28,false
2026-08-01T22:19:26.846980Z,15,6,0,31,17,0,1,0.067,84,159,31,28,31,false
2026-08-01T22:19:42.021008Z,15,6,6,29,14,0,1,0.067,0,0,0,0,0,true
2026-08-01T22:19:57.091349Z,15,6,0,33,6,0,2,0.133,228,276,71,69,36,false
2026-08-01T22:20:12.227861Z,15,6,0,34,7,0,2,0.133,133,223,50,49,37,false
2026-08-01T22:20:27.348474Z,15,6,0,33,7,0,2,0.133,104,146,34,35,38,false
2026-08-01T22:20:42.596061Z,15,5,0,37,13,0,0,0.000,33,134,9,5,44,true
2026-08-01T22:20:57.721762Z,15,5,0,42,6,0,2,0.133,110,179,48,50,42,true
2026-08-01T22:21:12.858505Z,15,6,0,44,51,0,2,0.133,113,162,28,26,44,false
2026-08-01T22:21:27.996044Z,15,6,0,47,2,0,2,0.133,204,331,83,80,46,false
2026-08-01T22:21:43.145196Z,15,6,0,38,7,0,0,0.000,162,272,102,111,38,false
2026-08-01T22:21:58.270328Z,15,6,0,13,0,0,4,0.267,126,247,28,24,42,true
2026-08-01T22:22:25.611259Z,15,6,0,36,5,0,1,0.067,265,337,75,81,36,false
2026-08-01T22:22:40.763996Z,15,6,0,35,4,0,1,0.067,133,192,62,63,35,false
2026-08-01T22:22:55.917892Z,15,6,0,37,7,0,1,0.067,82,140,32,31,36,false
2026-08-01T22:23:11.093784Z,15,5,0,33,6,0,2,0.133,58,137,25,28,33,true
2026-08-01T22:23:26.235581Z,15,6,0,35,6,0,2,0.133,69,122,31,28,36,false
2026-08-01T22:23:41.424674Z,15,6,0,28,1,0,1,0.067,65,129,21,28,28,false
2026-08-01T22:23:56.593387Z,15,5,0,30,26,0,1,0.067,57,77,11,9,30,true
2026-08-01T22:24:11.724913Z,15,5,0,36,25,0,1,0.067,207,289,81,75,36,true
2026-08-01T22:24:26.895109Z,15,5,0,38,8,0,2,0.133,168,258,79,77,38,true
2026-08-01T22:24:42.043142Z,15,5,0,41,13,0,1,0.067,159,233,65,63,40,true
2026-08-01T22:24:57.199523Z,15,6,0,34,4,0,2,0.133,126,196,45,52,34,false
2026-08-01T22:25:12.351843Z,15,6,0,43,16,0,1,0.067,125,207,41,32,43,false
2026-08-01T22:25:27.490368Z,15,5,0,43,7,0,2,0.133,131,185,52,52,43,true
2026-08-01T22:25:42.631249Z,15,5,1,50,2,0,0,0.000,90,204,38,31,50,true
2026-08-01T22:25:57.774787Z,15,6,0,53,4,0,3,0.200,79,129,25,22,53,false
2026-08-01T22:26:12.931027Z,15,6,0,49,16,0,1,0.067,98,187,29,33,49,false
2026-08-01T22:26:28.089182Z,15,5,0,46,12,0,2,0.133,148,222,58,61,46,true
2026-08-01T22:26:43.213662Z,15,5,0,45,12,0,0,0.000,65,173,30,31,45,true
2026-08-01T22:26:58.381083Z,15,6,0,41,3,0,4,0.267,118,180,42,46,41,false
2026-08-01T22:27:13.525007Z,15,6,8,43,29,0,0,0.000,153,260,45,43,43,false
2026-08-01T22:27:28.682991Z,15,6,0,35,8,0,2,0.133,236,330,126,134,35,false
2026-08-01T22:27:43.829590Z,15,6,3,25,5,1,0,0.000,0,0,0,0,0,true
2026-08-01T22:27:58.888520Z,15,6,0,34,22,0,4,0.267,233,219,50,51,34,false
2026-08-01T22:28:14.040724Z,15,6,0,36,10,0,0,0.000,184,298,76,74,36,false
2026-08-01T22:28:29.182924Z,15,5,0,31,9,0,2,0.133,119,154,50,54,31,true
2026-08-01T22:28:44.312436Z,15,5,0,31,3,0,0,0.000,42,125,18,17,32,true
2026-08-01T22:28:59.463952Z,15,5,0,36,15,0,3,0.200,76,105,19,15,36,true
2026-08-01T22:29:14.621558Z,15,6,0,30,10,0,2,0.133,137,243,68,74,30,false
2026-08-01T22:29:29.785959Z,15,6,0,26,6,0,1,0.067,92,134,33,37,26,false
2026-08-01T22:29:44.928514Z,15,6,0,27,6,0,0,0.000,45,122,23,23,26,false
2026-08-01T22:30:00.048189Z,15,5,0,23,6,0,3,0.200,65,136,23,24,24,true
2026-08-01T22:30:15.203200Z,15,6,0,26,10,0,2,0.133,89,143,29,28,27,false
2026-08-01T22:30:30.336236Z,15,6,2,16,0,0,1,0.067,118,193,59,70,16,false
2026-08-01T22:30:45.498795Z,15,5,0,18,5,0,0,0.000,67,102,28,26,18,true
2026-08-01T22:31:00.635551Z,15,5,0,25,11,0,2,0.133,128,191,47,40,25,true
2026-08-01T22:31:15.788968Z,15,6,0,27,7,0,3,0.200,188,252,92,89,27,false
2026-08-01T22:31:30.951736Z,15,6,0,26,3,0,1,0.067,118,189,48,49,26,false
2026-08-01T22:31:46.093205Z,15,6,0,30,11,0,0,0.000,126,178,54,50,30,false
2026-08-01T22:32:01.234418Z,15,6,0,38,23,0,2,0.133,108,178,36,28,38,false
2026-08-01T22:32:16.371293Z,15,6,0,32,6,0,3,0.200,210,290,107,113,32,false
2026-08-01T22:32:31.519799Z,15,6,0,0,0,0,0,0.000,78,158,2,5,34,true
2026-08-01T22:33:02.827695Z,15,6,0,46,10,0,3,0.200,318,378,89,72,47,false
2026-08-01T22:33:18.015772Z,15,6,0,40,7,0,3,0.200,132,192,62,69,40,false
2026-08-01T22:33:33.153169Z,15,6,0,39,11,0,0,0.000,81,179,36,37,39,false
2026-08-01T22:33:48.313033Z,15,6,6,38,13,0,1,0.067,107,186,12,7,43,true
2026-08-01T22:34:07.964203Z,15,6,0,42,8,0,3,0.200,368,446,103,104,42,false
2026-08-01T22:34:23.108939Z,15,5,0,33,1,0,3,0.200,140,239,65,81,26,true
2026-08-01T22:34:38.261281Z,15,6,0,45,22,0,1,0.067,147,169,51,32,45,false
2026-08-01T22:34:53.394692Z,15,5,0,42,7,0,1,0.067,176,293,74,77,33,true
2026-08-01T22:35:08.535391Z,15,5,0,37,9,0,2,0.133,62,107,25,32,27,true
2026-08-01T22:35:23.684225Z,15,6,0,38,2,0,3,0.200,92,167,32,20,38,false
2026-08-01T22:35:38.834978Z,15,6,0,38,10,0,0,0.000,109,161,57,56,39,false
2026-08-01T22:35:53.987430Z,15,6,0,34,4,0,1,0.067,117,230,53,58,34,false
2026-08-01T22:36:09.163783Z,15,5,0,41,5,0,1,0.067,98,150,45,38,41,true
2026-08-01T22:36:24.298499Z,15,5,0,41,4,0,3,0.200,97,185,36,37,41,true
2026-08-01T22:36:39.497413Z,15,6,0,39,2,0,0,0.000,45,104,22,24,39,false
2026-08-01T22:36:54.671842Z,15,6,0,34,11,0,1,0.067,240,352,90,95,34,false
2026-08-01T22:37:09.831416Z,15,6,16,32,0,0,1,0.067,42,87,0,2,32,true
2026-08-01T22:37:24.977680Z,15,6,0,44,9,0,3,0.200,166,291,88,77,43,false
2026-08-01T22:37:40.126289Z,15,6,0,40,3,0,1,0.067,107,177,53,56,40,false
2026-08-01T22:37:55.269177Z,15,6,0,33,6,0,1,0.067,70,153,17,24,33,false
2026-08-01T22:38:10.404688Z,15,5,0,36,15,0,1,0.067,116,196,38,35,36,true
2026-08-01T22:38:25.544082Z,15,6,0,38,10,0,4,0.267,160,200,61,59,38,false
2026-08-01T22:38:40.688515Z,15,6,0,42,9,0,0,0.000,31,115,13,9,42,false
2026-08-01T22:38:55.855276Z,15,6,0,43,42,0,1,0.067,110,129,15,14,43,false
2026-08-01T22:39:10.994061Z,15,6,0,44,11,0,2,0.133,246,383,112,110,45,false
2026-08-01T22:39:26.138630Z,15,6,0,42,24,0,3,0.200,90,147,19,20,42,false
2026-08-01T22:39:41.272058Z,15,6,0,37,3,0,0,0.000,200,323,64,71,37,false
2026-08-01T22:39:56.406513Z,15,6,0,32,7,0,1,0.067,131,174,57,62,32,false
2026-08-01T22:40:11.557006Z,15,5,0,29,6,0,2,0.133,100,183,36,39,29,true
2026-08-01T22:40:26.712755Z,15,6,0,30,10,0,2,0.133,78,119,35,34,30,false
2026-08-01T22:40:41.856332Z,15,6,0,29,19,0,1,0.067,106,175,42,43,29,false
2026-08-01T22:40:57.003391Z,15,6,7,29,6,0,1,0.067,0,0,0,0,0,true
2026-08-01T22:41:12.063126Z,15,6,13,15,6,2,2,0.133,0,0,0,0,0,true
2026-08-01T22:41:27.129253Z,15,6,0,30,33,0,2,0.133,520,485,140,126,31,false
2026-08-01T22:41:42.263970Z,15,6,0,35,13,0,1,0.067,281,360,118,113,36,false
2026-08-01T22:41:57.419768Z,15,5,0,28,10,0,0,0.000,147,232,71,105,13,true
2026-08-01T22:42:12.567862Z,15,6,1,27,4,0,2,0.133,128,159,60,46,27,false
2026-08-01T22:42:27.709648Z,15,6,0,28,12,0,4,0.267,107,146,35,34,29,false
2026-08-01T22:42:42.845886Z,15,6,0,32,12,0,0,0.000,107,209,47,43,33,false
2026-08-01T22:42:58.004458Z,15,5,0,34,9,0,0,0.000,94,153,40,38,35,true
2026-08-01T22:43:13.148344Z,15,5,0,33,6,0,2,0.133,96,166,38,39,34,true
2026-08-01T22:43:28.307595Z,15,5,0,31,1,0,3,0.200,38,117,16,17,31,true
2026-08-01T22:43:43.460848Z,15,5,0,34,5,0,0,0.000,58,114,28,28,31,true
2026-08-01T22:43:58.602417Z,15,5,0,25,6,0,1,0.067,62,143,24,30,25,true
2026-08-01T22:44:13.757684Z,15,6,0,17,1,0,2,0.133,86,135,35,43,17,false
2026-08-01T22:44:28.913871Z,15,5,1,18,8,0,2,0.133,35,74,10,8,19,true
2026-08-01T22:44:44.048958Z,15,5,0,15,6,0,0,0.000,52,103,22,26,17,true
2026-08-01T22:44:59.219124Z,15,5,0,17,6,0,1,0.067,14,54,4,2,19,true
2026-08-01T22:45:14.353251Z,15,6,0,15,30,0,3,0.200,135,106,13,15,17,false
2026-08-01T22:45:29.501766Z,15,6,0,13,9,0,2,0.133,202,284,104,108,13,false
2026-08-01T22:45:44.647401Z,15,6,0,19,22,0,0,0.000,121,171,50,44,19,false
2026-08-01T22:45:59.808928Z,15,5,0,25,9,0,1,0.067,100,186,44,38,25,true
2026-08-01T22:46:14.955520Z,15,5,0,28,6,0,2,0.133,84,107,22,19,28,true
2026-08-01T22:46:30.088903Z,15,5,0,31,12,0,2,0.133,98,165,34,29,31,true
2026-08-01T22:46:45.229875Z,15,5,0,33,12,0,0,0.000,122,172,62,60,32,true
2026-08-01T22:47:00.389613Z,15,5,0,39,10,0,1,0.067,109,216,46,40,39,true
2026-08-01T22:47:15.525790Z,15,6,0,33,5,0,3,0.200,160,196,52,58,33,false
2026-08-01T22:47:30.681212Z,15,6,0,30,8,0,2,0.133,82,173,40,42,30,false
2026-08-01T22:47:45.833952Z,15,6,0,40,24,0,0,0.000,134,181,44,34,40,false
2026-08-01T22:48:00.995852Z,15,5,0,39,10,0,1,0.067,141,264,67,66,42,true
2026-08-01T22:48:16.138272Z,15,5,0,36,9,0,3,0.200,101,122,29,34,38,true
2026-08-01T22:48:31.295570Z,15,6,0,41,6,0,2,0.133,96,196,30,27,42,false
2026-08-01T22:48:46.439236Z,15,6,0,34,11,0,0,0.000,144,205,81,88,35,false
2026-08-01T22:49:01.616174Z,15,6,1,32,14,0,1,0.067,123,210,58,59,34,false
2026-08-01T22:49:16.763026Z,15,5,0,32,7,0,3,0.200,135,179,44,38,37,true
2026-08-01T22:49:31.921759Z,15,5,0,35,5,0,2,0.133,56,133,12,10,40,true
2026-08-01T22:49:47.069615Z,15,5,0,33,1,0,0,0.000,23,99,4,11,33,true
2026-08-01T22:50:02.239002Z,15,5,0,34,13,0,1,0.067,93,168,54,53,34,true
2026-08-01T22:50:17.401188Z,15,6,0,31,3,0,3,0.200,121,173,47,50,33,false
2026-08-01T22:50:32.520813Z,15,6,0,33,6,0,2,0.133,42,113,13,11,35,false
2026-08-01T22:50:47.670538Z,15,5,0,31,9,0,0,0.000,69,145,29,31,33,true
2026-08-01T22:51:02.845344Z,15,6,0,35,8,0,3,0.200,136,188,41,37,37,false
2026-08-01T22:51:17.985803Z,15,6,0,31,11,0,2,0.133,164,210,62,68,31,false
2026-08-01T22:51:33.134989Z,15,6,0,28,4,0,1,0.067,98,194,49,52,28,false
2026-08-01T22:51:48.280012Z,15,6,0,33,13,0,0,0.000,90,152,34,29,33,false
2026-08-01T22:52:03.441477Z,15,6,0,34,26,0,5,0.333,131,166,20,19,35,false
2026-08-01T22:52:18.578128Z,15,6,0,30,11,0,2,0.133,222,300,100,104,30,false
2026-08-01T22:52:33.704433Z,15,6,0,29,4,0,1,0.067,108,190,49,50,29,false
2026-08-01T22:52:48.911264Z,15,6,0,28,11,0,0,0.000,84,162,31,32,28,false
2026-08-01T22:53:04.052575Z,15,6,0,30,6,0,4,0.267,102,138,55,54,29,false
2026-08-01T22:53:19.246517Z,15,6,0,28,6,0,2,0.133,87,121,27,28,28,false
2026-08-01T22:53:34.383655Z,15,5,0,27,7,0,1,0.067,86,162,30,31,27,true
2026-08-01T22:53:49.529387Z,15,5,0,34,14,0,0,0.000,92,128,33,26,34,true
2026-08-01T22:54:04.678738Z,15,5,0,41,13,0,3,0.200,155,252,62,55,41,true
2026-08-01T22:54:19.850207Z,15,5,1,36,9,0,1,0.067,136,177,63,67,37,true
2026-08-01T22:54:35.031868Z,15,5,0,39,7,0,1,0.067,109,202,46,39,39,true
2026-08-01T22:54:50.163809Z,15,6,0,38,11,0,1,0.067,102,163,41,42,37,false
